sName,sJobNo,sCard,Date,Time,IN/OUT,ReadID,EventMainCode,EventSubCode,AttendanceStatus,SerialNo
'T00532,62,'NULL,2024-01-22,06:46:53,'IN,1,5, 38,checkIn,407548
'T00881,115,'NULL,2024-01-22,06:46:56,'IN,1,5, 38,checkIn,407549
'T00894,29,'NULL,2024-01-22,06:47:22,'IN,1,5, 38,checkIn,407553
'T01120,1120,'NULL,2024-01-22,06:48:00,'IN,1,5, 38,checkIn,407556
'T00808,63,'NULL,2024-01-22,06:48:57,'IN,1,5, 38,checkIn,407559
'T00931,187,'NULL,2024-01-22,06:49:19,'IN,1,5, 38,checkIn,407562
'T00802,159,'NULL,2024-01-22,06:49:21,'IN,1,5, 38,checkIn,407563
'T00722,72,'NULL,2024-01-22,06:49:23,'IN,1,5, 38,checkIn,407564
'T00787,138,'NULL,2024-01-22,06:50:40,'IN,1,5, 38,checkIn,407567
'T00534,137,'NULL,2024-01-22,06:50:43,'IN,1,5, 38,checkIn,407568
'T01153,1153,'NULL,2024-01-22,06:51:52,'IN,1,5, 38,checkIn,407572
'T01125,1125,'NULL,2024-01-22,06:55:02,'IN,1,5, 38,checkIn,407575
'T00777,38,'NULL,2024-01-22,06:59:05,'IN,1,5, 38,checkIn,407578
'T01046,266,'NULL,2024-01-22,06:59:33,'IN,1,5, 38,checkIn,407581
'T00075,36,'NULL,2024-01-22,07:10:55,'IN,1,5, 38,checkIn,407585
'T01233,1119,'NULL,2024-01-22,07:23:13,'IN,1,5, 38,checkIn,407588
' T01057,270,'NULL,2024-01-22,07:28:19,'IN,1,5, 38,checkIn,407591
'T01018,238,'NULL,2024-01-22,07:29:44,'IN,1,5, 38,checkIn,407594
'T00497,44,'NULL,2024-01-22,07:30:03,'IN,1,5, 38,checkIn,407597
'T01135,1135,'NULL,2024-01-22,07:36:34,'IN,1,5, 38,checkIn,407600
'T00054,160,'NULL,2024-01-22,07:38:13,'IN,1,5, 38,checkIn,407603
'T00486,102,'NULL,2024-01-22,07:50:43,'IN,1,5, 38,checkIn,407606
'T01091,11111113,'NULL,2024-01-22,07:50:53,'IN,1,5, 38,checkIn,407609
'T01092,1092,'NULL,2024-01-22,07:57:29,'IN,1,5, 38,checkIn,407613
'T00222,129,'NULL,2024-01-22,07:57:42,'IN,1,5, 38,checkIn,407616
'T01093,1093,'NULL,2024-01-22,08:02:16,'IN,1,5, 38,checkIn,407619
'T00727,42,'NULL,2024-01-22,08:02:24,'IN,1,5, 38,checkIn,407622
'T00729,101,'NULL,2024-01-22,08:07:48,'IN,1,5, 38,checkIn,407625
'T00252,40,'NULL,2024-01-22,08:15:39,'IN,1,5, 38,checkIn,407628
'T00968,968,'NULL,2024-01-22,08:30:01,'IN,1,5, 38,checkIn,407633
'T00968,968,'NULL,2024-01-22,08:30:02,'IN,1,5, 38,checkIn,407634
'T00147,37,'NULL,2024-01-22,08:41:03,'IN,1,5, 38,checkIn,407639
'T00884,79,'NULL,2024-01-22,08:58:20,'IN,1,5, 38,checkIn,407643
'T00779,112,'NULL,2024-01-22,10:10:01,'IN,1,5, 38,checkIn,407646
'T00861,106,'NULL,2024-01-22,12:01:00,'IN,1,5, 38,checkIn,407650
'T00888,80,'NULL,2024-01-22,14:29:07,'IN,1,5, 38,checkIn,407653
'T00674,162,'NULL,2024-01-22,14:31:21,'IN,1,5, 38,checkIn,407656
'T00895,23,'NULL,2024-01-22,14:33:50,'IN,1,5, 38,checkIn,407659
'T00897,11,'NULL,2024-01-22,14:43:09,'IN,1,5, 38,checkIn,407662
'T01083,291,'NULL,2024-01-22,15:00:55,'IN,1,5, 38,checkIn,407671
'T01152,1152,'NULL,2024-01-22,15:01:20,'IN,1,5, 38,checkIn,407676
'T00590,66,'NULL,2024-01-22,15:05:24,'IN,1,5, 38,checkIn,407680
'T01128,1128,'NULL,2024-01-22,15:07:02,'IN,1,5, 38,checkIn,407683
'T01154,1154,'NULL,2024-01-22,15:07:28,'IN,1,5, 38,checkIn,407686
'T00647,64,'NULL,2024-01-22,15:09:18,'IN,1,5, 38,checkIn,407689
'T01074,294,'NULL,2024-01-22,15:09:22,'IN,1,5, 38,checkIn,407690
'T00927,165,'NULL,2024-01-22,15:09:28,'IN,1,5, 38,checkIn,407693
'T01040,237,'NULL,2024-01-22,15:09:51,'IN,1,5, 38,checkIn,407696
'T00386,41,'NULL,2024-01-22,15:10:11,'IN,1,5, 38,checkIn,407700
'T01149,1149,'NULL,2024-01-22,15:10:17,'IN,1,5, 38,checkIn,407703
'T01130,1130,'NULL,2024-01-22,15:10:24,'IN,1,5, 38,checkIn,407706
'T01142,1142,'NULL,2024-01-22,15:11:53,'IN,1,5, 38,checkIn,407709
'T00938,178,'NULL,2024-01-22,15:12:49,'IN,1,5, 38,checkIn,407712
'T01047,261,'NULL,2024-01-22,15:13:34,'IN,1,5, 38,checkIn,407715
'T01111,1111,'NULL,2024-01-22,15:14:52,'IN,1,5, 38,checkIn,407718
'T01051,267,'NULL,2024-01-22,15:17:23,'IN,1,5, 38,checkIn,407722
'T01105,1105,'NULL,2024-01-22,15:17:27,'IN,1,5, 38,checkIn,407723
'T01078,298,'NULL,2024-01-22,15:18:04,'IN,1,5, 38,checkIn,407726
'T00986,170,'NULL,2024-01-22,15:18:18,'IN,1,5, 38,checkIn,407730
'T01065,285,'NULL,2024-01-22,15:23:57,'IN,1,5, 38,checkIn,407733
'T01085,288,'NULL,2024-01-22,15:24:09,'IN,1,5, 38,checkIn,407736
'T01069,273,'NULL,2024-01-22,15:27:45,'IN,1,5, 38,checkIn,407739
'T01107,1107,'NULL,2024-01-22,15:27:48,'IN,1,5, 38,checkIn,407740
'T01101,1101,'NULL,2024-01-22,15:31:23,'IN,1,5, 38,checkIn,407743
'T01100,1100,'NULL,2024-01-22,15:31:29,'IN,1,5, 38,checkIn,407746
'T00054,160,'NULL,2024-01-22,15:31:53,'IN,1,5, 38,checkIn,407749
'T01109,1109,'NULL,2024-01-22,15:32:48,'IN,1,5, 38,checkIn,407752
'T01089,301,'NULL,2024-01-22,15:32:55,'IN,1,5, 38,checkIn,407755
'T00867,82,'NULL,2024-01-22,15:35:59,'IN,1,5, 38,checkIn,407758
'T01080,290,'NULL,2024-01-22,15:36:18,'IN,1,5, 38,checkIn,407761
'T01061,283,'NULL,2024-01-22,15:36:48,'IN,1,5, 38,checkIn,407764
'T01034,246,'NULL,2024-01-22,15:36:50,'IN,1,5, 38,checkIn,407765
'T01137,1137,'NULL,2024-01-22,15:37:01,'IN,1,5, 38,checkIn,407768
'T01138,1138,'NULL,2024-01-22,15:37:04,'IN,1,5, 38,checkIn,407769
'T00921,157,'NULL,2024-01-22,15:37:30,'IN,1,5, 38,checkIn,407772
'T01146,1146,'NULL,2024-01-22,15:37:49,'IN,1,5, 38,checkIn,407775
